Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
Sixth Sense,https://www.crunchbase.com/organization/sixth-sense,,"CRM, E-Commerce, Enterprise Resource Planning (ERP), Information Technology, Internet, Internet of Things, Point of Sale, Predictive Analytics, Project Management, Software","Indore, Madhya Pradesh, India","Sixth Sense It Solutions offers business software ERP, CRM, HRM, WMS and IoT Solutions","509,100",Asia-Pacific (APAC),,$1M to $10M,Active,2009-04-02,day,,,,,For Profit,https://sixthsenseit.com,https://www.linkedin.com/company/sixth-sense-it-solutions/,https://www.facebook.com/sixthsenseitindia/,info@sixthsenseit.com,+91-9617350006,"Sixth Sense IT Solutions; an ISO 9001:2015 certified company. Founded by Piyush Nagar (in 2009), who is a well-known business professional in modern-age technological solutions related to Software, IoT, AI, Cloud Computing, Blockchain, Mobility and creative Web & UI/UX design solutions. Sixth Sense IT Solutions, under the leadership of Piyush Nagar, has successfully developed and deployed 20+ smart business growth solutions like CRM, HRM, ERP, POS, eCommerce (based upon all the above technologies) for Micro, Small, and Medium-size of enterprises. Apart from working as CEO of Sixth Sense IT Solutions, Piyush Nagar is also a Professor of Bada Business - an outstanding initiative by Dr Vivek Bindra (an International coach, motivational speaker, and business guide). On Bada Business, Piyush discusses business problems with creative, unmatched, and the latest solutions to thousands of subscribers.  Currently, Sixth Sense IT Solutions has served 1000+ global and national clients, including major Indian Government organizations like IOCL, RCFL, TISS, Indian Army, MIHAN India, ICAR, CSIR, National Police Academy, NCB, Ministry of tourism named few.",,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Other, Sales and Marketing, Software",1,Piyush Nagar,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,21,-0.9,,,,
AICube,https://www.crunchbase.com/organization/aicube-2e78,,"Biotechnology, Medical, Medical Device","Trezzano Sul Naviglio, Lombardia, Italy",AICube develops and prevents behavior and medicine-predicting technologies.,"518,065","European Union (EU), Europe, Middle East, and Africa (EMEA)",20090,Less than $1M,Active,2018-01-01,year,,,,,For Profit,https://theaicube.com,https://www.linkedin.com/company/theaicube/,https://www.facebook.com/theaicube/,aicube@theaicube.com,+39 0284192835,"AICube is a developer of artificial intelligence-based bio-markers. They  designed to develop prevention behavior and predict medical technologies.  They offer innovative alternatives and map DNA to start prevention pathways. They support early diagnosis of disorders to help early and effective treatments, and reduce associated complications.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,7.8,1,Medical Or Veterinary Science; Hygiene,0,
Luxochain,https://www.crunchbase.com/organization/luxochain,,"Consumer Goods, Jewelry","Lugano, Ticino, Switzerland",Luxochain offers a goods authentication service using the blockchain.,"518,196","Europe, Middle East, and Africa (EMEA)",,,Active,2017-01-01,year,,,,,For Profit,http://luxochain.io,https://www.linkedin.com/company/luxochain/,,,,"Luxochain offers digital certificates of authenticity registered on the blockchain that are safe, readable, and transferable from any smartphone. With the Luxochain system, available for iOS and Android, any buyer, before making a purchase, can verify the authenticity of each product, in-store and online, checking with the smartphone the information written in the blockchain by simply approaching the product itself.",,,,,,,,,,,,Consumer Goods,3,"Davide Baldi, Natale Consonni, Roberto Gorini",11-50,1,Seed,2018-12-05,,,,Seed,,,,Seed,,,,,,,ICONIUM,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3.5,,,,
Radoff,https://www.crunchbase.com/organization/radoff,,,"Bologna, Emilia-Romagna, Italy","Radoff offers an air purifier device that also measures internal temperature, air humidity, and concentration of fine dust..","520,561","European Union (EU), Europe, Middle East, and Africa (EMEA)",40126,,Active,2018-01-01,year,,,,,For Profit,http://radoff.life,https://www.linkedin.com/company/radoff/?originalSubdomain=it,https://www.facebook.com/Radoff.life/,info@radoff.life,,,,,,,,,,,,,,,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-0.2,,,,
Keesy,https://www.crunchbase.com/organization/keesy,,"Marketing Automation, SaaS, Social Media Management, Social Media Marketing","Florence, Toscana, Italy",Keesy is the leading AI Instagram Growth Service. Get real Instagram followers & engagement with proprietary AI models.,"536,151","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.keesy.com/,https://www.linkedin.com/company/keesy/about/,https://www.facebook.com/keesy.host/,support@keesy.com,+1 (406) 300-3720,"Keesy is the highest rated Instagram growth service, specializing in organic follower increases through their AI-powered technology. Keesy's advanced, award-winning AI growth engine delivers results up to 10 times faster than competing services, ensuring rapid, organic growth without bots, fake followers, or password requirements. Keesy prioritize authenticity and security. Their combination of expert Instagram strategists and patented AI technology guarantees that each follower you gain is actively engaged and genuinely interested in your content. Keesy stands out with its strong commitment to customer satisfaction, offering a no-risk money-back guarantee if the promised growth isn’t met. Keesy's services offer a free 1-day trial, live demos, and round-the-clock support through their 24/7 live chat. Keesy's exceptional track record is reflected in a perfect 5-star rating from over 70,000+ satisfied customers. With Keesy, you can leverage the ultimate AI-driven solution for safely enhancing your Instagram presence within compliance of Instagram’s guidelines.",,,,,,,,,,,,"Internet Services, Sales and Marketing, Software",1,Patrizio Donnini,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9,-0.4,0,,2,Common metals and their alloys; ores
Metafyre,https://www.crunchbase.com/organization/metafyre,,"Cloud Data Services, Information Technology, Software","Latina, Lazio, Italy","Metafyre is a digital enterprise system that offers cloud technology and information system for web, mobile, and IoT devices.","544,154","European Union (EU), Europe, Middle East, and Africa (EMEA)",04100,$1M to $10M,Active,,,,,,,For Profit,https://metafyre.com,https://www.linkedin.com/company/metafyre-italia,https://www.facebook.com/MetafyreItalia,info@metafyre.com,+39 0773 151 0035,,,,,,,,,,,,,"Information Technology, Internet Services, Software",3,"Erik Jansen, Franco Petrucci, Vincenzo Lombardi",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.3,,,,
ModernMT,https://www.crunchbase.com/organization/modernmt,,"Machine Learning, SaaS, Software","Trento, Trentino-Alto Adige, Italy",ModernMT is a next generation machine translation.,"549,948","European Union (EU), Europe, Middle East, and Africa (EMEA)",38123,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.modernmt.eu/,https://www.linkedin.com/company/modernmt,,info@modernmt.eu,+39 0461 314552,"ModernMT is provided as a SaaS solution for enterprises. Benefits include cutting-edge innovations, baseline models trained on billions of words of premium data, support for nine language pairs (and more to come). ",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",,,1-10,1,Seed,2016-01-01,,,,Seed,,,,Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,-0.5,,,,
CarPlanner,https://www.crunchbase.com/organization/carplanner,,"Automotive, Digital Marketing, E-Commerce, Lead Management, Marketplace, Subscription Service","Rome, Lazio, Italy","CarPlanner is a digital car-as-a-service marketplace for all-inclusive, hassle-free car subscriptions.","554,403","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.carplanner.com,https://www.linkedin.com/company/carsplanner/,https://www.facebook.com/carplannercom/,m.daina@carplanner.com,,"CarPlanner is a digital car-as-a-service marketplace for all-inclusive, hassle-free car subscriptions.",,,,,,,,,,,,"Commerce and Shopping, Other, Sales and Marketing, Transportation",2,"Guglielmo Carsana, Marta Daina",11-50,2,Seed,2015-05-01,289000,EUR,323667,Seed,289000,EUR,323667,Seed,856200,EUR,1085342,856200,EUR,1085342,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,-2.5,0,,2,Advertising; business
IndieGala,https://www.crunchbase.com/organization/indiegala,,"Digital Entertainment, PC Games, Video Games","Rome, Lazio, Italy",IndieGala lets customers set their own price for high-quality indie games.,"559,994","European Union (EU), Europe, Middle East, and Africa (EMEA)",00138,$1M to $10M,Active,2011-12-01,month,,,,,For Profit,https://www.indiegala.com/,https://www.linkedin.com/company/indiegala,https://www.facebook.com/IndieGala,support@indiegala.com,(066) 449-2496,"IndieGala gives fans of indie games a chance to save money on awesome games and contribute to a good cause at the same time! IndieGala lets customers set their own price for high-quality indie games, then donate some or all of the proceeds to Save The Children and Child's Play charities.",,,,,,,,,,,,"Gaming, Media and Entertainment",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,2.6,0,,2,Scientific and electric apparatus and instruments
Mediate.com,https://www.crunchbase.com/organization/mediate-com,,"Alternative Medicine, Consulting, Internet, Legal, Media and Entertainment, Search Engine, Software","San Jose, California, United States",Mediate.com serves as a bridge between professionals offering mediation services and people needing mediation services.,"568,599","San Francisco Bay Area, Silicon Valley, West Coast",95124,$1M to $10M,Active,1996-01-01,year,,,,,For Profit,https://www.mediate.com/,https://www.linkedin.com/company/mediatedotcom/,https://www.facebook.com/everythingmediation/,admin@mediate.com,+1 541 345 1629,"Mediate.com serves as a bridge between professionals offering mediation services and people needing mediation services. Mediate.com serves as a bridge between professionals and organizations offering dispute resolution services and individuals and businesses. Mediate.com offers Mediators easy-to-use, mobile-friendly dynamic website systems.",,,,,,,,,,,,"Health Care, Internet Services, Media and Entertainment, Professional Services, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,17,-0.1,,,,
MOAB,https://www.crunchbase.com/organization/moab,,"3D Technology, Biotechnology, Medical Device","Milano, Lombardia, Italy",MOAB provides nanoengineered stem cells niches and microfluidic bioreactors development services.,"572,978","European Union (EU), Europe, Middle East, and Africa (EMEA)",20127,,Active,2019-01-01,year,,,,,For Profit,https://moab-research.com,https://www.linkedin.com/company/moab2,,info@moab-research.com,,"MOAB provides bioengineering, bioreactor, organoids, in vitro, millifluidics, and live imaging services. They also offer 3D tissues in real-time, gene-editing, drug development, and 3D structures resembling organs.",,,,,,,,,,,,"Biotechnology, Hardware, Health Care, Science and Engineering, Software",2,"Luca Izzo, Manuela Raimondi",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.4,,,,
SoftMining,https://www.crunchbase.com/organization/softmining,,"Artificial Intelligence (AI), Health Care, Pharmaceutical","Fisciano, Campania, Italy",SoftMining is an artificial intelligence-powered drug discovery company that provides materials for therapeutics.,"581,015","European Union (EU), Europe, Middle East, and Africa (EMEA)",84084,Less than $1M,Active,2019-01-01,year,,,,,For Profit,https://www.softmining.it,https://www.linkedin.com/company/softmining,https://www.facebook.com/SoftminingSrl,info@softmining.it,+39 089 968293,"SoftMining developed theoretical models for the general applicability of query techniques and semantic analysis. They discovered that two molecules with antitumor activity have entered clinical trials, and a new technique for chemical synthesis on a solid support has been developed.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.2,,,,
Forfirm,https://www.crunchbase.com/organization/forfirm-eca0,,"Consulting, FinTech, Information Technology, Infrastructure, IT Management, Network Security, Outsourcing, Sharing Economy, Software, VoIP","Varese, Lombardia, Italy",Forfirm is a fintech consulting and software development company.,"584,290","European Union (EU), Europe, Middle East, and Africa (EMEA)",21100,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.forfirm.com/,https://www.linkedin.com/company/forfirm/,https://www.facebook.com/Forfirm-103263014427986/,hr@forfirm.com,+44 20 3936 0030,"Forfirm is a fintech consulting company with a 360 focus on both technology and business needs. The services include blockchain projects, mainframe migration, cloud computing, and Cyber security.",,,,,,,,,,,,"Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Professional Services, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,39,4.7,0,,1,Advertising; business
Green Motion International,https://www.crunchbase.com/organization/green-motion,,Electric Vehicle,"London, England, United Kingdom",Environmentally focused car rental network,"592,344","Europe, Middle East, and Africa (EMEA)",MK17 9HD,,Active,2007-01-01,year,,,,,For Profit,https://greenmotion.com/,https://www.linkedin.com/company/green-motion/,https://www.facebook.com/GreenMotionInternational/,info@greenmotion.com,0333 888 4000,"Green Motion is a world-leading brand in the provision of lower CO2 car hire. Green Motion's ever increasing 100% franchised network is currently present in excess of 40 countries worldwide, across over 400 operational locations. Our brand ethos is not only to provide a vehicle rental experience that is better for the environment, but also deliver openness, honesty and transparency to each and every one of our customers. Green Motion is at the forefront of mobility innovation for the car rental industry, pioneering the latest technology to deliver truly frictionless mobility services.",,,,,,,,,,,,Transportation,1,Richard Lowden,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,-0.4,0,,21,"Transport, packaging and storing"
LinUp,https://www.crunchbase.com/organization/linup,,"Hardware, Software","Pomigliano D'arco, Campania, Italy",LinUp is a developer of software and hardware solutions.,"592,842","European Union (EU), Europe, Middle East, and Africa (EMEA)",80038,,Active,2015-01-01,year,,,,,For Profit,http://www.linup.it/,https://www.linkedin.com/company/linup-srl/about/,,info@linup.it,,"LinUp is a developer of software and hardware solutions for industry 4.0. LinUp offers a suite innovative solutions that help manufactures to reduce waste, improve ergonomics, and better manage maintenance operations.",,,,,,,,,,,,"Hardware, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,15,-0.2,,,,
Future Tech Lab,https://www.crunchbase.com/organization/ftl-ventures,,,"Stockholm, Stockholms Lan, Sweden","Helping new technologies and sustainable innovations connect, collaborate, and create.","598,509","European Union (EU), Nordic Countries, Scandinavia",,,Active,2015-01-01,year,,,,,For Profit,http://ftlab.com/,https://www.linkedin.com/company/ftlab/,https://www.facebook.com/FutureTechLab/,future@ftlab.com,,"Equal parts investment company, multinational accelerator, and experimental laboratory, Future Tech Lab (FTL) is a hybrid created to both disrupt and transform the fashion ecosystem.",Venture Capital,,8,8,1,4,2,,,,,,1,Miroslava Duma,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5,-1.3,,,,
